city,state,lat,lon
ANDOVER,KS,37.6941,-97.1052
ANDOVER,MA,42.6532,-71.153
ANDOVER,ME,44.7371,-70.8614
ANDOVER,MN,45.2549,-93.2744
ANDOVER,NH,43.4467,-71.7961
ANDOVER,NJ,40.962,-74.7554
ANDOVER,NY,42.1488,-77.7578
ANDOVER,OH,41.6237,-80.6074
ANDOVER,SD,45.3922,-97.9392
ANDOVER,VA,36.9224,-82.7953
ANDREAS,PA,40.7444,-75.8175
ANDREW,IA,42.1533,-90.5918
ANDREWS,IN,40.8204,-85.6122
ANDREWS,NC,35.1978,-83.8103
ANDREWS,SC,33.4555,-79.6349
ANDREWS,TX,32.3046,-102.6378
